location_id,management_professional_and_related,service,sales_and_office,farming_fishing_and_forestry,construction_extraction_maintenance_and_repair,production_transportation_and_material_moving,median_earnings_2010,unemployment
4428,34.35,17.65,26.05,0.3,8.45,13.25,28901.39969,0.109
4429,19.15,25,17.55,14.55,13.7,10,23360.41334,0.091
4430,41.05,12.45,27.85,0.2,8.3,10.2,38671.20857,0.074
4431,23.8,15.3,28.45,0.5,12.95,19.1,26716.49334,0.118
4432,31.7,21.55,26.55,0.3,11.2,8.75,25016.83683,0.115
4433,33.8,21.65,26.05,0.1,6.5,11.85,27831.05111,0.108
4434,34.65,18,17.55,5.9,11.5,12.3,24724.53746,0.047
4435,38.7,15.85,27.95,0.2,8.95,8.4,33655.73333,0.078
4436,26.2,18.4,21.55,0.7,11.1,22,26217.6327,0.084
4437,31,17.2,25.4,0.3,8.4,17.8,28555.70445,0.077
4438,23.5,15.8,22.45,0.6,19.6,18,27141.1273,0.088
