location_id,total_votes,republicans_2016,democrats_2016,green_2016,libertarians_2016
4329,6134,43.78871862,53.06488425,0.652103032,1.891098794
4330,15623,54.24694361,38.52013058,1.38257697,5.357485758
4331,6572,79.58003652,18.77662812,0.243457091,1.399878271
4332,28600,59.02447552,37.17832168,0.555944056,2.024475524
4333,20959,23.34557946,62.79879765,1.28345818,11.06445918
4334,19791,59.40073771,30.48355313,0.828659492,8.003638017
4335,96676,27.2849518,66.95870744,1.949811742,3.336919194
4336,34263,56.0984152,38.76776698,1.371742112,3.388494878
4337,50623,26.03164569,68.07182506,1.827232681,3.682120775
4338,22604,54.24261193,39.60360998,1.455494603,4.69828349
4339,12081,78.25511133,17.39094446,0.52148001,1.895538449
4340,1011651,38.23522144,56.07101659,1.588690171,3.86813239
4341,3801,75.03288608,18.52144173,0.999736911,2.551960011
4342,24857,72.86076357,22.37196766,0.79253329,3.250593394
4343,13172,69.88308533,24.84057091,0.835104768,4.441238992
4344,38722,53.79887403,42.16466092,1.002014359,3.0344507
4345,17597,69.97783713,25.50434733,0.795590157,3.153946695
4346,127827,36.443005,58.96250401,1.167984855,3.154263184
4347,9854,64.26831743,29.73411812,1.035112645,4.962451796
4348,9286,62.07193625,31.19750162,1.216885634,3.618350205
4349,13984,67.92763158,26.76630435,1.43020595,3.375286041
4350,7890,52.30671736,46.24841572,0.152091255,0.773130545
4351,42489,58.95643578,34.49834075,0.99319824,4.210501542
4352,10835,65.5560683,28.50023073,0.562990309,4.68850946
4353,7457,65.95145501,29.0063028,0.576639399,2.910017433
4354,5147,76.23858558,22.30425491,0.155430348,1.301729163
4355,383965,42.50908286,54.49741513,0.965973461,1.832719128
4356,24995,65.105021,28.94978996,1.168233647,3.980796159
4357,6252,72.15291107,26.59948816,0.223928343,1.023672425
4358,3038,78.27518104,16.68861093,0.69124424,2.304147465
4359,40133,64.95651957,29.70124337,0.80482396,3.184411831
4360,18862,38.73396246,58.58869685,0.387021525,1.670024388
4361,13464,37.11378491,55.86749851,2.599524658,3.780451575
4362,9299,34.94999462,54.50048392,2.656199591,6.290999032
4363,9220,79.08893709,18.6659436,0.281995662,1.323210412
4364,11135,33.50696004,60.08082622,1.230354737,3.484508307
4365,120199,48.3889217,47.31653342,1.545769932,2.748774948
4366,47938,64.76907672,27.74208352,0.955400726,4.019775543
4367,10999,48.03163924,43.39485408,1.727429766,4.754977725
4368,57270,77.47511786,19.16535708,0.562248996,2.797276061
4369,249560,48.39156916,47.14737939,0.874739542,3.239701875
4370,23814,69.21138826,26.56000672,0.69286974,3.073822121
4371,18641,71.71825546,24.09741967,0.541816426,2.65543694
4372,23021,39.73763086,54.03761783,2.323965075,3.900786239
4373,71080,70.49099606,25.53882949,0.517726505,2.955824423
4374,22401,57.00638364,36.77514397,2.455247534,3.763224856
4375,23304,75.47202197,21.09509097,0.373326468,2.458805355
4376,16818,69.45534546,26.21001308,0.939469616,3.39517184
4377,21206,63.03404697,28.6899934,2.098462699,6.177496935
4378,36054,72.69651079,22.89621124,0.70172519,2.673767127
4379,8053,76.41872594,14.92611449,0.981000869,5.86116975
4380,14795,24.2176411,64.44068942,1.25718148,9.584319027
4381,16754,67.55998568,27.82619076,0.632684732,3.479766026
4382,4943,61.90572527,33.23892373,0.566457617,2.710904309
4383,21964,48.52485886,45.25132034,1.242942998,4.9808778
4384,8975,57.71587744,35.86629526,1.515320334,4.902506964
4385,36180,79.07683803,17.39358762,0.583195135,2.529021559
4386,18504,70.07674016,28.48573281,0.264807609,1.172719412
4387,3772,49.70837752,43.23966066,1.272534464,3.976670201
4388,8819,83.97777526,13.39154099,0.385531239,1.428733416
4389,14698,44.39379507,54.04816982,0.374200572,0.646346442
4390,7295,47.67649075,43.79712132,0.904729267,6.593557231
4391,69345,71.46009085,24.97945057,0.647487202,2.435647848
4392,35879,46.38646562,18.68781181,0.627107779,3.227514702
4393,4363,39.81205592,58.62938345,0.137520055,1.146000458
4394,6421,55.83242486,42.31428126,0.389347454,0.700825417
4395,4639,38.3272257,60.93985773,0.02155637,0.388014658
4396,24179,76.48372555,20.86107779,0.306050705,1.844575872
4397,194988,40.79174103,55.57316348,1.096477732,2.246804932
4398,356545,56.20468665,39.2200143,0.707624564,3.867674487
4399,5298,82.35183088,14.81691204,0.302000755,1.793129483
4400,203153,62.48147948,33.19074786,0.759033832,3.138521213
4401,5542,74.68422952,21.68892097,0.70371707,2.923132443
4402,12129,59.82356336,31.53598813,0.94814082,4.311979553
4403,304729,23.38799392,71.37686272,1.4156841,3.460123585
4404,94571,53.38634465,41.34354083,1.386260059,3.334003024
4405,127403,15.91877742,79.65824981,1.526651649,2.672621524
4406,6042,79.70870573,17.29559748,0.529625952,1.770936776
4407,79633,59.65617269,35.19018497,0.811221479,3.979505984
4408,7410,74.02159244,22.78002699,0.4048583,2.307692308
4409,586038,40.98044837,54.46592201,1.131837867,3.421791761
4410,233273,61.09622631,33.95163607,0.717614126,3.811414094
4411,35256,71.38643068,23.61867484,1.040957568,3.548332199
4412,24509,44.42857726,47.40707495,3.276347464,4.888000326
4413,5842,86.16912016,12.27319411,0.15405683,0.95857583
4414,72007,64.93118725,23.16858083,1.091560543,3.816295638
4415,36217,65.12963525,30.16815308,0.693044703,3.354778143
4416,2667,80.65241845,16.64791901,0.262467192,1.57480315
4417,11144,77.44077531,20.28894472,0.188442211,1.713926777
4418,79822,47.78256621,47.08225802,1.306657313,3.664403297
4419,16345,36.24961762,58.36035485,1.945549098,2.924441725
4420,10494,70.55460263,24.83323804,0.362111683,3.011244521
4421,28654,27.89488379,64.89146367,3.179311789,3.486424234
4422,5432,76.12297496,22.45949926,0.092047128,0.865243004
4423,79036,58.30381092,38.24206691,0.603522445,2.421681259
4424,8748,76.96616369,21.42203932,0.194330133,1.41746685
4425,7031,62.45199829,33.7220879,0.312900014,1.493386432
4426,14571,31.1646421,67.57943861,0.212751355,0.679431748
4427,17111,68.44719771,26.14107884,1.466892642,3.944830811
